,"DOM_01T02: Agriculture, hunting, forestry",DOM_03: Fishing and aquaculture,"DOM_05T06: Mining and quarrying, energy producing products","DOM_07T08: Mining and quarrying, non-energy producing products",DOM_09: Mining support service activities,"DOM_10T12: Food products, beverages and tobacco","DOM_13T15: Textiles, textile products, leather and footwear",DOM_16: Wood and products of wood and cork,DOM_17T18: Paper products and printing,DOM_19: Coke and refined petroleum products,DOM_20: Chemical and chemical products,"DOM_21: Pharmaceuticals, medicinal chemical and botanical products",DOM_22: Rubber and plastics products,DOM_23: Other non-metallic mineral products,DOM_24: Basic metals,DOM_25: Fabricated metal products,"DOM_26: Computer, electronic and optical equipment",DOM_27: Electrical equipment,"DOM_28: Machinery and equipment, nec","DOM_29: Motor vehicles, trailers and semi-trailers",DOM_30: Other transport equipment,DOM_31T33: Manufacturing nec; repair and installation of machinery and equipment,"DOM_35: Electricity, gas, steam and air conditioning supply","DOM_36T39: Water supply; sewerage, waste management and remediation activities",DOM_41T43: Construction,DOM_45T47: Wholesale and retail trade; repair of motor vehicles,DOM_49: Land transport and transport via pipelines,DOM_50: Water transport,DOM_51: Air transport,DOM_52: Warehousing and support activities for transportation,DOM_53: Postal and courier activities,DOM_55T56: Accommodation and food service activities,"DOM_58T60: Publishing, audiovisual and broadcasting activities",DOM_61: Telecommunications,DOM_62T63: IT and other information services,DOM_64T66: Financial and insurance activities,DOM_68: Real estate activities,"DOM_69T75: Professional, scientific and technical activities",DOM_77T82: Administrative and support services,DOM_84: Public administration and defence; compulsory social security,DOM_85: Education,DOM_86T88: Human health and social work activities,"DOM_90T93: Arts, entertainment and recreation",DOM_94T96: Other service activities,DOM_97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),TOTAL: Total
DOM_20: Chemical and chemical products,152197.9,1331.2,28386.2,19603.6,1957.4,6600.8,73313,13811.3,31615,6371.7,360234.3,13387.4,158873.2,36981.6,18876.3,12384,18888.9,29123.9,8981.3,9502.1,2794.6,17215.4,254.1,11169.5,83920.7,5596.6,848.7,61.7,344.6,63.2,150.8,3156.2,1390.1,25.3,403.6,157,260.2,14894.2,7089.9,2046.1,7294.5,335.7,220.4,10647.6,0,23584.2,42.5,0,0,10640.4,0,330.9,126780.7,1334140.5
"DOM_21: Pharmaceuticals, medicinal chemical and botanical products",16944.4,2117.1,263.5,24.9,1.5,1750.7,167.2,0.6,1271.6,8.8,2134,93601.3,179.1,933,270.4,275.9,943,166.3,629.8,18.1,18.4,195.1,24.7,358.6,3373,54.3,65,44,42,45.5,114.2,56.4,25.6,312.3,76.2,53.9,17.5,2577.6,191.8,237.4,1062.3,97381.2,23.7,337.6,0,106864.6,82.1,30544.6,0,3444.6,0,261.3,26417.8,396004.6
DOM_22: Rubber and plastics products,21625.8,454.9,1692.5,3161.5,1437,19750.8,16800.9,1777.5,8806.2,743.5,27919.4,2130,115092,9979,1492.5,8023.7,32363.5,37303.1,29365.5,42346.6,7413.4,15122.6,82.7,5034.5,45333.8,10207.2,10262.2,42.9,96.7,2261.4,2108.2,1888.8,165.9,918,419.5,58.9,381.2,2604.4,4397.8,274.4,74.3,302.8,215.3,1778,0,10155.4,0,0,0,4340.9,0,0,66694.5,574901.5
DOM_23: Other non-metallic mineral products,951.5,539.4,1568.7,4542.6,1073,7899.3,912.6,817.3,662.2,2380.7,6448.7,3237.6,2794.2,200797.5,24900.5,9869.7,28673.6,26485.3,9627.9,17560.4,1024.6,2969,2344.3,869.3,635956.4,667.7,280.7,40.9,147.6,95.6,13,572.5,1.8,163.4,0.3,25.2,29.8,1249.3,780.4,14.2,1394.8,171.9,3.1,38.1,0,8488,0,0,0,7890.4,0,0,45507.1,1062482
DOM_24: Basic metals,586.3,204.8,19738.9,3359.4,2398.4,633.2,749.6,397.2,11598.1,106.6,12196.4,167.9,5518,28419.4,488871.8,206458.7,45487.8,167201.7,165724.8,89904.3,21974.1,18996,491.4,1637.6,379110.7,351.3,695.5,164.3,209.4,52.8,6.5,20.9,17.6,10.8,2.9,19.1,261.1,332.2,105.2,0.2,75.7,0.9,1.7,37.6,0,1830.7,0,0,0,5823.3,0,0,83589.9,1765542.7
DOM_25: Fabricated metal products,1944.9,218.9,11837.8,9078.7,925.6,4791.3,3169.8,2316.6,1407,195.7,4258,1206.4,6883.5,19775.9,4656.1,103950.7,23005.7,32168.6,77965.6,30765,12603.9,9509,2370.2,2527.1,141877.6,3910.2,766.5,362.3,100.3,2205.2,161.1,532.6,24.1,340.6,112.5,46.7,925.9,15310.4,16123.8,912.2,1088.4,51.9,133.1,855.8,0,6394.1,4.8,0,131530.7,-966,0,0,107479.2,797816
"DOM_26: Computer, electronic and optical equipment",553.5,124.8,4507.4,321.4,442.7,915.3,410.9,54.6,512.8,367,1154.4,369.4,1306.6,1219.8,1246.6,5114.4,591867.7,46487.9,49605.4,17433.2,9282.5,3530.6,15651.9,2202.2,9378.3,22235.8,2121.6,383.9,1262,2218.8,225.6,1199.5,1032.2,13707.6,12444,476.1,291.2,27233,12694.3,3344.1,4574.4,5416.8,793.7,2084,0,75586,15.4,0,179767.7,9767.1,0,445.7,528060,1671441.4
DOM_27: Electrical equipment,455.9,93.2,2258.9,2752.9,164.6,834.1,644.4,141.3,260.2,81.3,1067.5,128.3,1638.2,1818.2,1283.5,6817.4,72406.3,130336.7,59932.4,23184,21313.6,4126.5,45487.2,853.1,102825,27984.2,2131.9,59.8,1943.2,1485.1,418.6,662.7,422.5,7763.1,2167.5,50.3,47.2,11791.1,9967.7,1460.4,100.5,216.2,87.7,694.1,0,55762.2,1.2,0,106977.8,4609.3,0,170.7,201108,918987.7
"DOM_28: Machinery and equipment, nec",17582.2,5731.9,32421.6,17937.5,2885.2,2541.8,3891.2,1505.5,2754.2,1573.1,9550.6,776.7,3287.4,17119.1,23756.1,28376.7,36152.3,27980.8,221669.4,33858.9,11649.6,3977.5,998.2,1444.9,35685.9,745.3,2179.5,3078.7,2387.3,6627.7,432.8,588.9,15.6,585.3,36,803.6,230.5,442.3,660.7,130.5,412.3,91.6,51.8,115.2,0,3759,6.9,0,486449.8,10297.7,0,0,171473.4,1236711
"DOM_29: Motor vehicles, trailers and semi-trailers",3131.1,841.2,502.3,3151.4,257.1,288.9,354.5,36.6,178.6,5.4,434.3,39.1,252.1,3248,404.1,2766.4,811.5,1739.8,23968.8,401284.9,1299.2,324.3,72.9,1920.5,1255.9,11415.8,94428.8,160.7,194.8,4604.2,3109,705.7,49.4,189.2,50.2,160.9,24.5,14907.8,27257.2,2339.4,129.9,26.1,80.1,1140.2,0,141616.8,1.2,0,451516.2,11873.2,0,195.9,45699.3,1260445.1
DOM_30: Other transport equipment,1435.3,1910.1,198.3,138.9,5.6,69.4,78.3,60.5,8.9,13,139.1,31.7,26.7,62.4,43.8,54.6,196.9,295.7,4322.8,507.6,26764.6,2388.4,11.7,196.1,1104.1,4079.4,7070.6,9510.9,3385.2,457.7,2668.8,6.2,0.8,84.6,2.2,9.5,1.3,154.2,76.1,342.9,15,72.3,15,457.9,0,15077,6.9,0,94538,1475.6,0,0,45373.8,224946.3
DOM_31T33: Manufacturing nec; repair and installation of machinery and equipment,2678.1,573.4,2514.2,891.5,221.5,1939.7,2263.5,847.8,1122.9,336.1,1301.2,782.2,517.3,2222.1,1844.8,1958.2,3023.5,1539,3174.2,10497.8,1499,13364.1,4285.7,815.6,12941,3345.3,2333.1,171.2,1257.1,306,834.9,879.1,455.7,1081.7,1200.8,4155.1,2525.5,9106.6,9707.6,8527.9,4375,409.9,1264.6,3334,0,45848.3,14.9,0,54623.8,6783.1,0,1272.6,143136.5,380104.8
"DOM_35: Electricity, gas, steam and air conditioning supply",19973.1,1745.1,34856.9,29147.8,819.9,10837.5,12535.9,3713.7,8449.7,4334,53161.4,4294.5,8451.4,40911,85518.9,26122.5,14268.9,9043.8,18242.3,7559.8,2416.7,4020.4,224537.2,11844.7,39355.9,13852.9,35819.6,60.8,355.9,1236.1,869.4,8413.8,884.9,7646.5,1391.1,1585.5,4530.7,3478.9,4533.2,4423.1,2999.1,1555,770.4,4220,0,103595.6,32.8,129381.5,0,1239.9,0,0,1509.6,1010549.1
"DOM_36T39: Water supply; sewerage, waste management and remediation activities",3360.1,447.7,765.1,795.9,22.4,1974.7,870.2,129.3,10920.8,152.8,1565.2,262.5,2168.9,1955.7,51589.1,4630.3,730.4,502.6,833,329.8,207.8,265.8,3234.9,33054.8,2999.5,1036.6,547.1,170.3,141.2,51.4,47.5,1547.1,59.8,280.2,59.1,194.2,455.9,481.4,569.6,485.4,470.9,268.4,229.6,427.2,0,20886.9,466.7,13921.3,37494.1,-1002.8,0,0,0,203058.1
DOM_41T43: Construction,1252.4,52.3,275,73.5,6.2,202.5,192.3,37.9,72.8,14.9,280.8,42.2,89.9,141.2,169.9,113.2,497.3,125.6,365.1,115.4,45.4,105.9,2100.8,826.1,79525,1224.8,970.6,2.7,111.2,118.7,189.7,835.6,304,665,55.3,809.5,6897.5,309.6,738.5,4562.6,1881.4,480.5,395.9,339.5,0,31104,68.5,0,3236029.9,0,0,0,0,3374818.5
DOM_45T47: Wholesale and retail trade; repair of motor vehicles,68254.3,7753.3,13377,9721.9,1164,96332.3,122748.9,9475.6,18974.2,9237.3,53483.5,20192.2,25464,36374.2,46083.4,25529.4,87846.7,41273.8,53876.8,101197.6,11128.3,16806,19567.8,5544,127563.6,18697.5,30450.9,3511.2,3708.3,4904.6,2540.2,33882.5,2463,4312.5,3234.2,2920.9,2790.8,18961.2,27733.6,12831.7,6094.5,15278.5,3091.2,4460.4,0,271745.4,89.6,133115.6,184444.6,-1913.2,0,908.5,144365.2,1963593.4
DOM_49: Land transport and transport via pipelines,39325.6,4971.3,11716.1,7035.2,662.9,45672.4,35062.8,6232.3,10274.4,12457.9,31764.9,7959.1,12306.7,29635.7,40265.3,15900.5,32520.1,19982,28799.9,15000.2,4658.3,7684.8,16853.3,2826.8,82380.5,25339.9,25947.8,1803.2,1718.8,9535.3,3638.7,14531.5,1148,1679.2,1801.9,1525.7,1380.5,9850.5,14152.9,6089.6,4683.2,4301.6,1025.1,2574.4,0,97914.2,53.4,20284.1,48758.2,0,0,5267.5,53928.9,880883.5
DOM_50: Water transport,5028.2,1115.8,1634.8,987.2,61.1,3667.5,3028.6,540.2,1184.5,782,4265.1,718.5,1780.5,3680.8,4421.2,1858.8,2669.6,2021.7,3964.2,1931.3,498.8,771.1,1762.4,410.2,6756.7,10898.7,678.3,7854.9,88.5,5089.7,46.6,929.8,72,76.6,94.1,71.7,68.1,1003.9,854.5,271.3,301,197.2,71.5,170.7,0,9426.5,1.2,3157.9,3499.5,3462,0,605.4,24145.8,128677.9
DOM_51: Air transport,3620.5,336.8,705,464.2,59.2,2329.9,3308,370.9,616,465.9,1668.6,1131.4,846.6,1699.5,1861.6,1235.5,3667.3,1717,2940.6,2129,407.6,619.3,1128.9,323.7,5409.6,6703.9,553.3,88.6,8732.4,639.7,2729.7,820.1,459.8,619.2,939.5,757.7,709.5,7117.9,9430.6,7581.1,4388.1,374.8,402,516.8,0,14080.6,5.4,1555.7,3136,692.7,0,2125.1,14068.5,128291.5
DOM_52: Warehousing and support activities for transportation,5848.2,637,2109.5,1332.9,118.3,7256.4,9235.2,1183.3,2005.1,1750.8,7467.6,1298.9,4726.3,5036.8,8623.8,3504.6,6562.2,4375.8,5808.4,6202.5,1174.1,1879.5,2674.8,670.2,14608.6,5921.8,6338.8,5281.8,446.8,2011.5,1210,2288.8,191.7,287.2,255.2,202.3,172.6,1664.3,2147.9,721.5,424.5,788.2,215,605.4,0,17409.9,20.9,1068.3,13013.9,609.4,0,31.9,11025.1,180445.5
DOM_53: Postal and courier activities,5550.6,1092,1191.6,350.1,34.7,4787.8,1960.4,661.8,680.6,279.4,2166.4,2078.2,1088.2,2268.2,3386.5,1821.5,2188.5,3845.2,2768.2,3527.3,421.3,908.7,1686.2,319.9,6059.5,30777,728.9,17.6,78.8,138.7,6302,1183.8,121.7,1088.7,1517.1,2688.9,311.2,1284.3,1184.6,1480,991.6,902.9,306.9,411.8,0,6994.9,7.6,31.5,2139,387.5,0,48.6,4.3,112252.8
DOM_55T56: Accommodation and food service activities,6743.5,726.5,3392.4,2966.1,247.3,8991.7,4102.6,843.6,2435.8,543.2,5836.4,5003.1,2513.2,6505.3,7346.5,5001.1,7567.2,5163,8714.2,4487.1,1358.3,2029.1,3076.6,2720.7,24325.2,12895.3,17646.5,278.7,3874,2820.7,1597.5,1625,4318.9,1664.9,2366.9,17109.1,3897,29254.7,40764.8,36745.9,13934.8,1393.8,2809.4,2942.6,0,302459.2,409,0,0,0,0,10523.4,0,633971.8
"DOM_58T60: Publishing, audiovisual and broadcasting activities",54.4,2,336,146.5,4.5,392.3,502.7,94.5,128.8,47,333.2,272,382,542.9,671.8,345.1,730.1,430.8,748.3,229.7,57.5,144,392.1,304.9,611.7,563.2,201.1,43.3,203.2,39.5,68.9,460.1,1783.6,966.2,206.3,358.2,304.3,904.5,374.9,3606.9,1745.6,103.4,350.6,219.1,0,29980.8,203.2,13647.3,6664.9,214.7,0,230.9,13271.8,84621.4
DOM_61: Telecommunications,2621.7,341.7,433.8,473.3,19.7,876.7,693.2,162,359.4,35.1,764.4,433.5,357.2,951.2,478.6,781.5,2007,848.2,1331.7,524.8,109.9,267,2006.3,872.7,21611.7,3147,3094,2826.2,590.8,752.4,2135.2,1787.3,827.6,32687.4,19531.5,5286.5,2294.8,2636.1,1960.1,20370.8,5105.1,2428.2,868.3,706.1,0,112522,59.6,0,0,133.6,0,906.7,3930.7,265950.4
DOM_62T63: IT and other information services,1468.6,6.2,446,649.1,29.2,1573.1,1332.6,147,379.7,47.9,1433.8,664.8,559.8,721.6,806.6,773.3,14688.5,1571.8,2341.1,1090.2,368.8,516.4,1721.9,558.1,14539.8,4726,4550.8,1442.1,1780.6,3079.2,1734.6,1324.1,815.6,12543.7,19135.5,6262.6,2034,3847.2,3089.7,8193.8,2127.2,1030.9,386.9,533.6,0,29129.6,24.7,0,186487.9,1567.1,0,11.3,46080.9,390375.3
DOM_64T66: Financial and insurance activities,25023.8,7060.4,36102.9,10043.7,486.3,7632.6,7890.5,1754.5,6145.7,2232.8,15003.2,5742.6,5321.8,15494.2,43615.4,10861.9,22502.5,9920.9,16917.4,6639.2,2736.3,2848.4,32790.7,8155.5,102285.6,64789.9,106175.2,8650.1,4530.3,4111.5,1097.5,4678.9,1139.7,6558.7,4546.8,33645.4,77728.2,28119.8,33121,12104.1,10724.1,1585.8,2159.1,2310.6,0,280572.6,532.2,59269.9,0,980.2,0,777.6,8562.1,1163680.1
DOM_68: Real estate activities,29.6,0,316.3,37.4,25.4,374.8,240.4,63.1,96.5,3.5,141.5,58.5,376.2,273.7,39,254.8,589.5,335.9,479,215.2,118.7,359.7,131.4,615.9,381.3,91089.5,2218.9,47,647.3,2390.2,3596,17184.1,851.1,7937.6,13075.3,24651.7,22293.3,21271.7,23259.4,8447.6,12951.6,2374.7,2940.3,19777.8,0,705637.4,604.4,0,117326.8,67,0,2510.6,1906.9,1110615.5
"DOM_69T75: Professional, scientific and technical activities",12585.2,1108,10816.6,5117,362.7,13879.4,6122.1,1348.5,3785.7,1155.7,11391.3,9296.9,6536.3,8402.4,6748.7,7136.6,19263.9,9503.8,17785.4,17838.5,2046.7,2558.2,4779.3,1498.4,94050.6,76470,3574.5,770.4,2604.9,2502.4,2419.5,4066.3,1398.6,9303.3,8645.7,15600.8,24617.3,36707.1,14021.8,2914.7,2404.3,625,793.7,2184.7,0,2894.4,481.3,79950.6,89306.5,1352.5,0,389.6,33339.1,694457.1
DOM_77T82: Administrative and support services,5311.6,1197.4,21661.7,7746.4,452.1,25535.6,15514.7,1770.5,4758.9,2749.1,9841.7,10767.8,7525.7,13474.4,10093.6,10301.2,22765.1,12524,22605.9,24758.1,2379.3,5702.5,4912.8,2441.2,35051.1,132816.2,8475,1488.2,6055.6,5336.5,4558.1,9051,2750.7,16704.4,16278.6,27646.1,28813.7,28450.7,73212.5,16036.7,4289.5,988.7,2169,4635.5,0,76138.1,487.1,152219,20896.9,686,0,783.6,14514.1,937324
DOM_84: Public administration and defence; compulsory social security,687.7,78.8,183.5,120.8,6.7,257.9,288.1,37.8,88.6,20.8,234,128.1,188.1,412.1,223.9,237.7,339.8,117.7,344.4,168.1,38.1,141,182.1,286.8,332.5,257.7,110.3,208.1,34.9,51.7,43.3,131.8,58.9,208.5,83.1,242,707.3,504.2,558.5,10484.7,609.5,74.6,89.6,129.1,0,6235,720.7,857487.5,0,0,0,0,0,884175.9
DOM_85: Education,331.3,31.9,194,63.1,4,178.6,128.4,27.2,34,15.5,120.2,99.6,69.8,147.3,82.7,140.1,154.9,90.6,277.8,118.2,32.2,80,32.6,134.9,829.1,1649,875.8,21.6,97.5,24.5,44.6,376.5,119.4,545.2,51.2,1391.7,183.5,407.4,354.7,4759.6,6284.3,353.1,116.4,163,0,231986.9,5725.8,371442.6,0,0,0,205.5,0,630597.7
DOM_86T88: Human health and social work activities,270.5,3.3,263,196.4,0,98.9,122.6,38.9,90.2,254.1,102.5,47.6,20.7,233.8,445.4,415.8,235.8,233.4,365.3,214.4,90.5,32.3,300.6,45.5,1007.6,345.1,271.1,28,9.1,120.2,1.7,41.7,14.9,11.7,11.7,99.7,26.8,40.7,24.7,1367.4,146.8,976.8,23.3,58.1,0,154263.5,7552.3,291391.8,0,0,0,614.8,0,462571.2
"DOM_90T93: Arts, entertainment and recreation",240.3,26.8,536.3,157.2,6.4,375.9,187.9,50.5,67.7,37,174.4,111,91.7,236.7,258.4,166.9,234,138.8,385.3,676.4,38.1,78.5,447.8,149.2,1075.7,992.1,325.8,104.7,44.4,272.5,28.7,223,431.9,102,311.5,3104.8,389.1,387.4,1165.4,1425.7,265.5,46.9,10381,494.6,0,56299.8,3014.6,57226.3,0,16.6,0,1498.1,2610.5,147111.8
DOM_94T96: Other service activities,3259,432.4,847.6,230.2,12.2,587.2,438,131.5,423.6,113.7,641.7,370.9,423.3,693.2,539,687.6,1118.6,730.8,1172,1294.4,131,279.3,989.2,1347.1,6813.1,17372,3008,104.5,127.9,580.8,306.2,1650.8,773.7,569.3,590.2,552.1,481.8,3555.2,4204.9,4536.5,6700.6,3228.8,1047.1,6137.7,0,205849,31178.7,0,0,0,0,799.1,0,317061.5
DOM_97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPO: Imports (cross border),62889.8,5283.2,28281.4,16114.5,1377,52658.8,52076.4,11076.8,22531.2,220850.3,113996.4,16040.5,37921.7,31982.5,119911.5,31101.5,219575.6,63547.8,76556.8,56916.1,17521.8,16162.3,83581.2,5732.8,90320.5,32142.2,20402.8,6960.8,6931,7534.7,3470.2,15463.6,2716.6,9180.3,8753,7300.3,3826,26231.4,24982.9,17177.1,8278.4,12238.8,2764.5,4887.6,0,181237,352.6,22940.2,220018.4,0,244473.7,0,0,0
TXS: Taxes less subsidies on intermediate and final products,-18998.6,832.2,7988.4,12702.2,832.6,493.2,34442,3436.4,5590.5,12538.8,39925.1,2750.6,10334.2,19691.8,51329.8,14796.8,68563.5,22276.7,35804.3,71317.7,6656,7284.5,28806.2,6454.2,55155.8,17139.7,31515.1,9042.2,7057.7,6306.6,1752.9,16614.8,2103.6,6911.7,4999.9,6426.8,8186.6,15315.1,26445.2,11886.9,8337.3,6671.1,5195.3,4216.7,0,169278,565.6,3712.5,231652.9,0,0,-658.5,0,1101680.4
VALU: Value added at basic prices,843880.1,96076.8,216758.1,90269.2,7304,410259.2,207605.2,50768,119092.6,163688.6,318732.3,120363.1,109610,341693,418983.2,218884.8,256663.1,182307,242981.3,238330,45583.1,115354.9,313879.1,70902.6,911216.3,1236933.5,373270.7,31054.1,39273.3,69626,47995.2,229854.1,39919.8,108772.4,251082.1,982413.1,899111.2,280702.5,410000.8,611110.2,473067.7,287343.5,90955.5,216450.9,0,0,0,0,0,0,0,0,0,12790122.5
OUTPUT: Output at basic prices,1913100.8,212807,622522.3,315769.9,28732.4,1723277.6,1511929.1,237313,475615.1,646112.3,1334140.5,396004.6,574901.5,1062482,1765542.7,797816,1671441.4,918987.7,1236711,1260445.1,224946.3,380104.8,1010549.1,203058.1,3374818.5,1963593.4,880883.5,128677.9,128291.5,180445.5,112252.8,633971.8,84621.4,265950.4,390375.3,1163680.1,1110615.5,694457.1,937324,884175.9,630597.7,462571.2,147111.8,317061.5,0,0,0,0,0,0,0,0,0,35015787
