,"D01T03: Agriculture, forestry and fishing",D05T06: Mining and extraction of energy producing products,D07T08: Mining and quarrying of non-energy producing products,D09: Mining support service activities,"D10T12: Food products, beverages and tobacco","D13T15: Textiles, wearing apparel, leather and related products",D16: Wood and products of wood and cork,D17T18: Paper products and printing,D19: Coke and refined petroleum products,D20T21: Chemicals and pharmaceutical products,D22: Rubber and plastic products,D23: Other non-metallic mineral products,D24: Basic metals,D25: Fabricated metal products,"D26: Computer, electronic and optical products",D27: Electrical equipment,"D28: Machinery and equipment, nec","D29: Motor vehicles, trailers and semi-trailers",D30: Other transport equipment,D31T33: Other manufacturing; repair and installation of machinery and equipment,"D35T39: Electricity, gas, water supply, sewerage, waste and remediation services",D41T43: Construction,D45T47: Wholesale and retail trade; repair of motor vehicles,D49T53: Transportation and storage,D55T56: Accomodation and food services,"D58T60: Publishing, audiovisual and broadcasting activities",D61: Telecommunications,D62T63: IT and other information services,D64T66: Financial and insurance activities,D68: Real estate activities,D69T82: Other business sector services,D84: Public admin. and defence; compulsory social security,D85: Education,D86T88: Human health and social work,"D90T96: Arts, entertainment, recreation and other service activities",D97T98: Private households with employed persons,HFCE: Final consumption expenditure of households,NPISH: Final consumption expenditure of non-profit institutions serving households,GGFC: Final consumption expenditure of general government,GFCF: Gross Fixed Capital Formation,INVNT: Changes in inventories,CONS_ABR: Direct purchases abroad by residents (imports),CONS_NONRES: Direct purchases by non-residents (exports),EXPO: Exports (cross border),TOTAL: Total
DOM_31T33: Other manufacturing; repair and installation of machinery and equipment,456.6,40,61.6,5.5,650.9,166.6,258.3,468.5,274.2,814,409.3,441.3,1817.2,898.6,538.9,790.5,2619.6,1896.3,282.4,3083.5,1950.7,1753.7,1197,2708.2,210.4,186.2,499.4,333.9,536.2,1939.9,1264,1208.7,512.7,2479,467.4,0,22525.8,0.8,2124.8,19744.9,-487.9,0,264.1,24149.6,101543.3
"DOM_35T39: Electricity, gas, water supply, sewerage, waste and remediation services",787.5,220.2,399.7,11.2,1669.7,542.9,685.3,2730.5,1091.3,5211.2,1884.4,2178,9430,2304.4,668.7,1046.5,2899.3,2378.3,420.6,1006,30750.6,2800.2,5100.9,4867.1,1148.9,558.7,876.7,908.9,2206.4,7677.2,4885.6,5887.5,3119.6,4143.3,2401.5,0,57338.1,7.9,22024.1,8896.6,10.4,0,25.9,6301.6,209503.3
DOM_41T43: Construction,406,54.7,252.1,6.5,181.2,72.5,176.7,269.2,237.2,735.9,294.2,454.7,614.7,688,227.1,400.7,989.4,685.2,113.5,789.5,4058.6,26638,2802,4486.9,310.2,211.2,912.3,376.7,1754.8,14724.8,4169.5,6361.3,1564.4,1642.6,1075.5,0,4986,0.1,95.7,223292.1,-21.6,0,47.5,1369.5,308506.8
DOM_45T47: Wholesale and retail trade; repair of motor vehicles,5455.1,138,282,20.9,25077,2999.8,1883.3,3584.5,6568,12811.8,5002.1,2548.3,4632.4,4909.2,4823,5050.1,11064.8,18447.4,2223.2,5891.2,8845,11548.9,32483.5,14353.1,6982.6,1858.5,3000.5,1676.6,2966.1,2666.2,9264.4,5356.7,2193,5636.8,2824.5,0,138275.9,8.5,7160.7,22059.7,-1195.8,0,1180,107633.4,510191.1
DOM_49T53: Transportation and storage,1193.7,184.8,294,24.8,4701,744.5,1015.1,1963.7,2363,4851,1746.7,1951.4,2774.9,2215.2,1241.8,1576.2,3990.2,5284.8,589.1,1848.1,3942.2,3983.5,16901.5,63968.2,1308.7,2084.8,1851.9,1539.8,6574.2,1561,9302.8,5192.5,1499.4,2175.8,1870.4,0,66694.7,3.2,49422,4651.6,-1613.8,0,1603.7,69295.2,354367.1
DOM_55T56: Accomodation and food services,132.4,8,10.4,2.7,309.9,47.1,67.8,122.3,28.3,269.9,135.3,100.1,149.8,239.1,68.5,110.4,383.7,300.1,138.3,191.7,659.9,551.3,1646.8,2154.5,389.4,252.2,132.1,650.6,1376,1569.5,5687.7,1609.6,943.3,3072.4,970.9,0,50544.9,12.9,7770.6,86.1,-0.5,0,13344.4,312.9,96553.3
"DOM_58T60: Publishing, audiovisual and broadcasting activities",46.5,2.5,5.8,0.2,419.5,29,38.1,672.3,102.7,431.2,134.2,99.5,44.1,186.5,187.4,143.4,395.9,330.8,82.7,195.6,478.1,328.9,2539.8,855.7,179.2,8714.6,480.9,1997.9,1908.2,560.9,6355,1661.1,1769.2,673.2,2033.8,0,21771.4,0,42.6,9678.9,30.4,0,431.6,5000.5,71039.6
DOM_61: Telecommunications,93.7,4.2,24.1,1.6,165.7,75.6,65.1,139.1,80,301.8,162.9,125,128.9,292.9,194.6,170.8,583.2,400.6,107.4,227.3,696.6,487.4,2042.8,2189.3,186,1022.7,11242.4,1755.4,3161.2,871.5,3593.8,2206.6,549.6,962.6,804.9,0,34621.5,0,21.8,175,-4.1,0,342.3,3486.3,73760
DOM_62T63: IT and other information services,79.1,39.5,24.6,1.2,578.4,107.9,105,505,208.6,934.2,304.8,227.2,408.7,490.8,738,506.8,1105.6,1064.1,199.2,537.1,1552.8,912.4,3590.2,3609.3,303.1,2232.6,2427.4,12313.5,8343.5,1598.5,8400.1,4178.6,1466.8,1729.1,1433.4,0,5519.5,1.3,1363,46096.9,-51.5,0,88.4,18692.9,133967.8
DOM_64T66: Financial and insurance activities,1184.7,89.6,175.6,8.9,1328.6,436.2,525.6,1008.4,763.2,2526.9,1202.6,915,3001.4,1911.6,888.8,1163.3,3262.6,2961.7,855.6,1294.9,4484.1,4295.6,9327.8,8299.1,848.1,863.2,1254.1,2058,58950.2,19244.4,10536.4,5838.1,1750.2,3168.1,2231.8,0,90198.1,0.2,515.8,726.3,51.5,0,499.2,38354.2,288999.8
DOM_68: Real estate activities,270.1,6.9,30.1,1.5,861.7,397.9,292.4,750.2,280.5,1008.4,904.2,454.4,365.4,1404.4,546,703.2,1725,2547,473.3,1351.3,2526.1,3777.7,26437.3,9531.4,3537.6,1571.9,2889.8,3475.2,8782.4,14451.8,15262.2,7266.5,4828.7,6404.3,5021.5,0,279829.4,0,15270.8,11643.4,4,0,987.3,1092.8,438965.8
DOM_69T82: Other business sector services,1505.4,241.9,373.8,41.3,5150.3,968.3,1307.4,2864.6,1478.1,9019,3232.7,2586.7,3315.5,5095.1,4951.4,3808.4,9800.4,9283.8,2669.9,5211.8,12343.8,19043.9,30873,29932.1,3480,5897.9,6958.7,12732.4,23789.3,15380.2,77012.5,16361.7,6383.9,10556.8,8788.4,0,33227.8,19.4,21208.6,65740.5,196.8,0,799.4,89850.9,563483.8
DOM_84: Public administration and defence; compulsory social security,16.9,3.3,3.8,0.2,17.8,9.7,9.7,21.3,20.6,54.1,25.4,17.8,8,39.2,22.9,26.1,64.2,61.6,13.2,29.6,174.4,130.5,164.6,239.6,13.8,38.7,51.7,87.6,154.8,304.2,388,486,114,120.4,80,0,5462.9,0.2,272083.2,1304.1,0,0,0,231.7,282095.8
DOM_85: Education,4,6.5,1.5,0.1,15.6,14,5.4,25.4,26.3,39.1,68.6,33.2,18.6,64.6,164,132.5,205.6,285,5.4,43.1,159.3,207.7,147.3,146,4.1,37.7,44.9,232.1,257.7,55,801.5,600.1,624.2,168,88.9,0,17433.5,116.6,143803.9,165.3,1.9,0,5101.2,3819.5,175174.8
DOM_86T88: Human health and social work,758.6,41,47.2,0.1,3619.8,224.4,1.2,3.1,502.3,7060.1,1684.3,4.1,2855.8,2355.8,968.2,1625.4,3823.5,3786,353.8,1425.9,3323.4,29.1,11981.2,8.4,1201,1.7,3.5,27.1,16230.1,4748.1,19114.7,1981.7,218,33070.3,2017.1,0,147696.9,56198.6,794,80.7,-0.6,0,318.9,637.2,330821.6
"DOM_90T96: Arts, entertainment, recreation and other service activities",147.2,25.9,98.4,1.8,337.6,113.5,117.9,198.1,117.5,343.7,187.6,147.6,265,248.8,202.7,203.7,501.9,558,90.8,239.7,939.5,1037.8,2221.4,1963.3,659,901,453.9,948.1,1407.9,551.9,4191.2,1632.1,953.5,3416.4,6114,0,81957.2,2611.8,47697.5,1680.6,-3.3,0,994.7,1291.9,167769
DOM_97T98: Private households with employed persons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8453.3,0,0,0,0,0,0,0,8453.3
IMPO: Imports (cross border),8593.2,494.9,775,66.7,31291.7,4834.1,3618,9733.2,30358.5,37840.1,16804,6179.7,24050.8,18797.5,17369.4,19674.9,41235.5,71364.9,11650.1,12685.6,26278.2,28731.4,28347.6,30469.7,7453.8,4026.4,5945.1,8590.6,19634,9811.7,27284.4,14558.6,4419.7,10587.8,6112.5,0,218769.3,20.7,33258.3,96023.5,-5.3,69220.4,0,0,1016956.4
TXS: Taxes less subsidies on intermediate and final products,1811.2,126.5,276.9,16.7,10921.2,1117,546.9,1153.1,4666.7,9668.2,2688.4,1428.5,3597.9,2707.6,2143,2829.5,6711.2,38963.9,2234.1,2739.1,6210.7,6789.1,6636.1,13454.6,4873.8,568,826.8,987.4,2016.7,1648.5,4226.1,3727.7,920.3,2958.7,1787.9,0,142235.1,26.8,1817.8,33284.6,-3163.1,3514.3,912.6,33136.2,365744.4
VALU: Value added at basic prices,18736,2454.2,3628.8,162.4,49783,8175.6,8015.9,20786,6461.5,77559.4,31898.5,18657.3,23841.6,60028.5,43031,46748.5,106318,137434.9,17087.3,44822.7,83152.8,138464.9,300803.5,139938.4,47661,33827.7,30244.3,79022.9,123647.1,332047.9,334056.8,182176.6,136375,228448.4,115142.2,8453.3,0,0,0,0,0,0,0,0,3039093.6
OUTPUT: Output at basic prices,56961.2,4773.8,7746,441.6,197864,24838.1,28261.9,62402.1,60896.7,203710.3,86955.5,49051.5,108765.2,139051.9,91424.9,112946.6,271387,424837.3,49949.8,101543.3,209503.3,308506.8,510191.1,354367.1,96553.3,71039.6,73760,133967.8,288999.8,438965.8,563483.8,282095.8,175174.8,330821.6,167769,8453.3,0,0,0,0,0,0,0,0,6097461.5
